date,times
1/1/2020,1
12/30/2019,1
12/28/2019,1
12/27/2019,2
12/26/2019,1
12/25/2019,2
12/24/2019,1
12/22/2019,1
12/21/2019,1
12/20/2019,1
12/19/2019,1
12/15/2019,1
12/13/2019,1
12/12/2019,1
12/11/2019,1
12/9/2019,1
12/7/2019,1
12/4/2019,1
12/1/2019,2
11/30/2019,1
11/27/2019,1
11/21/2019,1
11/16/2019,1
11/14/2019,2
11/13/2019,1
11/12/2019,1
11/11/2019,2
11/7/2019,1
11/5/2019,1
11/3/2019,1
11/2/2019,2
11/1/2019,2
10/29/2019,1
10/24/2019,1
10/23/2019,1
10/22/2019,1
10/20/2019,1
10/17/2019,1
10/16/2019,1
10/13/2019,1
10/12/2019,1
10/11/2019,1
10/9/2019,1
10/7/2019,1
10/6/2019,1
10/2/2019,1
10/1/2019,1
9/29/2019,1
9/26/2019,1
9/24/2019,1
9/23/2019,2
9/22/2019,2
9/14/2019,1
9/13/2019,1
9/9/2019,1
9/8/2019,1
9/7/2019,1
9/5/2019,1
9/3/2019,2
9/2/2019,1
8/31/2019,1
8/30/2019,1
8/28/2019,2
8/26/2019,1
8/24/2019,1
8/23/2019,3
8/22/2019,4
8/21/2019,3
8/20/2019,2
8/19/2019,3
8/14/2019,2
8/13/2019,1
8/12/2019,3
8/11/2019,3
8/10/2019,1
8/9/2019,2
8/7/2019,1
8/4/2019,1
7/31/2019,1
7/30/2019,1
7/29/2019,1
7/28/2019,2
7/26/2019,1
7/25/2019,1
7/24/2019,1
7/22/2019,1
7/20/2019,1
7/18/2019,1
7/17/2019,1
7/16/2019,1
7/15/2019,1
7/14/2019,1
7/13/2019,1
7/12/2019,1
7/10/2019,1
7/9/2019,1
7/8/2019,1
7/7/2019,1
7/6/2019,2
7/5/2019,1
7/3/2019,1
7/2/2019,1
6/29/2019,1
6/28/2019,1
6/26/2019,1
6/25/2019,1
6/24/2019,2
6/23/2019,1
6/22/2019,1
6/21/2019,1
6/20/2019,1
6/19/2019,1
6/15/2019,1
6/12/2019,1
6/10/2019,1
6/6/2019,1
6/5/2019,1
6/4/2019,2
6/3/2019,1
6/2/2019,1
5/27/2019,1
5/23/2019,1
5/22/2019,1
5/20/2019,1
5/15/2019,2
5/13/2019,1
5/12/2019,1
5/10/2019,1
5/9/2019,2
5/8/2019,1
5/7/2019,2
5/6/2019,1
5/4/2019,1
5/2/2019,1
4/29/2019,1
4/26/2019,1
4/25/2019,2
4/23/2019,1
4/22/2019,1
4/21/2019,1
4/20/2019,1
4/19/2019,1
4/18/2019,1
4/17/2019,1
4/12/2019,1
4/7/2019,1
4/6/2019,1
4/1/2019,1
3/31/2019,1
3/30/2019,1
3/28/2019,1
3/25/2019,1
3/24/2019,1
3/22/2019,1
3/18/2019,1
3/16/2019,2
3/15/2019,1
3/14/2019,1
3/11/2019,1
3/9/2019,1
3/7/2019,1
3/3/2019,2
3/2/2019,1
3/1/2019,2
2/28/2019,1
2/27/2019,1
2/24/2019,1
2/23/2019,2
2/22/2019,1
2/21/2019,1
2/19/2019,1
2/15/2019,1
2/14/2019,1
2/13/2019,3
2/12/2019,2
2/11/2019,2
2/9/2019,1
2/8/2019,2
2/7/2019,1
2/6/2019,1
2/3/2019,1
2/2/2019,2
1/30/2019,2
1/27/2019,1
1/26/2019,1
1/24/2019,1
1/20/2019,1
1/18/2019,1
1/17/2019,1
1/16/2019,1
1/14/2019,2
1/13/2019,1
1/12/2019,1
1/10/2019,1
1/7/2019,2
1/5/2019,1
1/4/2019,1
1/2/2019,1
1/1/2019,2
12/29/2018,1